GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0205038-846,135,54,56,136,49,78,127,83,32,124,18,69,124,67,26
0215032-800,99,44,50,97,37,55,81,48,31,90,7,45,96,30,53
0212231-390,1356,547,741,1339,519,802,887,317,530,901,75,318,916,236,605
0201637-750,19,8,10,19,11,6,27,18,6,23,3,15,25,17,8
0211033-525,1523,1013,427,1542,1028,471,1172,534,562,1210,224,561,1228,564,498
0206606-053,75,51,12,74,53,14,63,51,12,57,7,26,60,35,17
0224006-053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0201337-700,60,19,37,62,29,28,109,56,44,103,29,55,102,64,25
0202020-565,531,323,204,543,350,183,508,358,146,613,79,246,636,418,164
0202023-745,581,280,260,577,272,274,486,246,231,516,76,211,527,223,231
0218039-936,103,36,57,106,47,57,122,76,43,108,12,66,112,60,34
0202028-125,1060,465,575,1063,524,520,822,377,423,889,105,393,910,424,396
0211034-430,1583,826,673,1603,840,676,1156,620,490,1123,210,496,1142,520,466
0211034-440,1653,889,691,1656,924,673,1447,657,707,1580,251,737,1592,633,703
0206037-722,215,68,140,218,73,141,178,62,101,178,18,117,188,36,138
0218840-022,61,28,22,65,39,15,37,19,14,50,4,21,52,18,7
0206309-655,502,194,274,514,197,288,398,161,205,437,38,211,440,106,261
0218840-036,130,44,71,131,64,61,171,96,62,153,14,75,159,95,44
0202027-900,1623,745,821,1649,827,776,1464,710,703,1541,243,592,1552,657,740
0202024-700,1458,709,703,1437,716,680,1060,450,572,1159,140,514,1170,405,644
0202028-105,1189,492,676,1178,532,623,1111,486,565,1303,96,697,1307,506,649
0202026-805,1442,635,790,1438,688,699,1177,510,633,1212,109,621,1222,465,637
0202015-315,775,358,389,808,376,398,654,328,296,817,152,345,856,352,397
0229006-007,119,110,8,127,124,3,86,68,6,101,29,30,101,94,1
0205038-832,99,50,32,98,59,28,84,53,24,93,7,61,95,51,6
0202020-530,1225,783,385,1254,835,365,743,449,254,837,137,344,867,459,302
0207037-736,316,237,55,317,254,43,216,195,15,228,25,153,231,155,25
0202024-710,1512,636,860,1501,681,782,1338,555,740,1428,138,746,1449,563,729
0202027-920,1359,723,592,1364,758,559,1051,585,431,1204,192,549,1226,574,512
0202028-115,1223,380,819,1190,389,759,1137,440,657,1190,73,681,1192,361,680
0202024-720,1270,513,705,1274,553,669,1056,482,541,1142,116,530,1152,409,601
0202017-415,1088,624,409,1093,636,407,715,368,309,774,91,341,800,340,364
0202018-470,456,310,139,450,290,150,298,189,102,342,58,113,351,160,138
0202018-480,1014,563,441,1041,597,416,1054,696,332,1195,164,462,1224,723,386
0202020-560,912,596,305,918,635,263,870,631,209,870,114,330,891,571,239
0202017-400,868,496,348,882,538,320,943,584,334,1018,132,460,1060,571,377
0202021-610,1342,696,594,1364,795,518,942,475,425,1045,161,495,1068,451,483
0218039-932,283,144,86,292,246,31,258,158,73,280,25,144,287,191,27
0213036-620,1028,384,605,1033,361,632,857,287,546,931,94,528,954,235,578
0206309-650,925,369,503,919,357,511,722,338,342,777,70,367,799,236,442
0202018-435,578,308,263,589,330,247,630,381,220,654,61,310,673,404,225
0218039-924,455,188,229,455,227,204,394,210,152,493,52,274,509,222,218
0205038-856,172,91,50,179,121,45,155,120,17,123,12,74,126,74,18
0209004-280,355,214,128,369,237,112,335,237,77,344,53,98,354,228,63
0202026-820,1357,514,823,1365,561,755,1447,642,767,1571,147,805,1588,664,767
0212229-130,704,186,503,690,158,516,618,163,455,625,33,259,645,125,449
0202019-515,545,307,196,533,279,235,359,161,176,377,68,149,393,176,158
0217008-130,751,158,551,754,159,562,548,122,410,648,43,232,668,104,497
0202026-810,1347,442,880,1363,515,794,990,357,606,973,94,486,988,311,586
0202019-500,774,453,273,790,470,285,533,317,184,664,177,211,686,398,217
0202026-815,1608,565,1009,1617,652,915,1411,549,819,1505,125,786,1530,543,832
0212229-115,726,171,518,737,182,541,493,104,366,542,40,191,548,92,411
0209005-580,231,83,139,226,72,140,177,85,82,199,18,78,205,42,141
0229039-320,63,44,11,63,58,1,32,25,4,51,3,43,51,38,2
0215839-928,43,22,11,48,36,10,53,31,16,38,0,0,35,20,3
0205038-830,98,56,34,94,46,45,90,73,13,98,19,55,102,49,33
0202013-255,1192,351,801,1218,384,778,968,304,632,1166,90,536,1228,310,772
0202019-520,817,469,312,824,475,332,746,452,259,835,134,325,855,454,307
0206037-748,17,16,0,38,24,14,25,17,7,27,1,21,29,13,11
0215032-840,120,63,45,130,85,37,82,55,24,94,9,49,93,36,23
0212231-370,1621,968,610,1655,990,612,1294,797,448,1217,133,396,1267,667,474
0206806-005,118,24,82,113,18,92,102,27,74,99,9,35,102,20,74
0215838-850,96,58,29,98,58,25,100,60,27,121,5,72,118,40,29
0205038-858,170,117,28,173,146,16,163,129,26,144,30,76,142,91,11
0202022-670,547,223,304,557,275,269,516,226,281,567,57,276,567,229,283
0202017-430,763,453,266,755,448,281,585,314,247,627,119,269,650,339,226
0206606-047,265,65,175,264,49,205,218,51,150,227,24,73,232,40,158
0218039-908,154,52,75,152,52,90,131,63,60,119,12,57,126,51,35
0202028-130,403,259,126,383,237,135,224,128,83,242,45,73,239,106,108
0202013-235,1078,281,746,1119,333,746,698,185,490,860,67,361,923,196,623
0202025-845,2159,1014,1062,2199,1089,1019,1623,810,767,1704,233,782,1724,729,805
0202027-935,269,106,158,269,121,138,301,176,119,315,42,128,319,168,113
0202022-655,1187,640,509,1172,627,498,836,401,414,940,146,408,951,375,462
0229006-023,32,13,19,35,30,5,49,31,16,43,3,16,48,35,13
0202027-910,1632,855,723,1614,857,697,1211,557,617,1349,247,546,1368,553,671
0205038-800,215,107,74,218,104,107,185,118,50,137,17,51,141,64,39
0215839-916,306,158,111,311,191,108,404,301,62,239,34,147,266,164,60
0229006-054,86,54,29,90,68,20,73,64,6,105,22,59,106,56,28
0202012-233,1224,336,829,1239,365,821,761,222,520,901,65,356,909,204,610
0206037-734,235,75,153,240,91,146,191,92,85,245,19,156,246,91,125
0202023-765,1244,556,636,1243,584,609,1034,493,507,1185,172,524,1210,512,579
0213036-660,163,80,57,181,118,58,176,85,67,163,19,107,175,78,60
0202021-625,1332,761,525,1346,806,502,1144,676,432,1234,184,591,1254,621,483
0202026-830,692,263,416,692,291,380,577,260,308,643,74,309,645,248,330
0229040-330,66,42,17,64,52,5,61,55,2,45,5,29,44,26,4
0217010-055,835,180,624,831,172,614,636,155,453,613,39,243,638,103,454
0218039-914,78,44,28,79,52,25,68,45,16,66,4,47,68,36,12
0217011-060,1165,318,806,1178,340,786,1004,298,667,1154,88,507,1166,254,804
0202026-800,1449,640,740,1451,696,729,1180,495,636,1235,140,558,1264,516,596
0218039-912,250,99,97,267,179,73,196,132,47,211,22,125,210,147,32
0202021-630,837,525,272,823,509,281,592,361,222,696,123,244,710,352,277
0202014-960,1776,615,1102,1798,701,1022,1377,530,798,1785,175,906,1812,537,1007
0202015-305,1411,627,732,1435,650,743,1119,475,592,1275,200,565,1338,496,702
0207037-718,66,36,27,64,23,34,50,36,13,52,3,35,52,24,25
0202022-650,1112,538,516,1098,558,516,769,327,421,865,110,423,886,356,412
0202017-410,827,416,381,860,480,336,733,430,276,820,148,373,851,421,293
0218039-906,26,14,11,25,12,11,25,15,8,13,0,11,12,8,3
